correlation,num_runs,steps_mean,steps_std,steps_min,steps_max,unique_cultures_mean,unique_cultures_std,unique_cultures_min,unique_cultures_max,largest_domain_mean,largest_domain_std,avg_distance_mean,avg_distance_std,prob_global_consensus
-1.0,50,34703.5,14403.238200140968,12696,82372,2.58,1.1504781614615724,1,7,97.18,2.3722563099294307,0.038,0.026951259161129563,0.16
-0.75,50,34511.0,14552.85474262696,8878,77099,2.7,1.3152946437965907,1,7,96.06,5.190028901653632,0.04377777777777776,0.04218770518925866,0.18
-0.5,50,31022.9,14354.237746742248,9742,83545,2.76,1.257934815481311,1,7,96.12,5.701368256830986,0.04233333333333333,0.035830361633882715,0.12
-0.25,50,32056.56,16348.409089767725,10365,74139,2.62,1.2944496900227525,1,6,96.78,4.570732982793897,0.03866666666666666,0.03541569715448606,0.24
0,50,35133.84,17681.334353899874,10170,81177,2.84,1.5147276983009192,1,8,97.2,2.8000000000000003,0.04011111111111111,0.03238064503433349,0.18
0.25,50,30760.88,15155.281346962847,8070,77632,2.96,1.6487571076419958,1,8,96.04,4.3998181780614525,0.04677777777777777,0.038731267873787854,0.18
0.5,50,35939.24,16426.469824718883,11359,92948,3.02,1.3926952286842946,1,7,93.9,9.887871358386496,0.049555555555555554,0.03891808427904202,0.12
0.75,50,32561.04,15717.342533596448,12329,83916,2.82,1.4379151574414952,1,7,94.94,6.833476421266119,0.056111111111111105,0.047156817450913345,0.16
1.0,50,34996.32,17721.840200656367,10564,88699,3.98,1.593612248948909,1,8,91.02,9.700494832739205,0.09955555555555554,0.06796731240497564,0.04
